Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
BT1,1,Battery,,,,Connector_JST:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,~
"C1,C2,C3,C4",4,100nF,,,,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
J1,1,MOTOR_A,,,,Connector_JST:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,~
J2,1,MOTOR_B,,,,Connector_JST:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,~
"R1,R2,R3,R4",4,10K,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,~
"SW1,SW2,SW3,SW4",4,SW_Push,,,,Button_Switch_THT:SW_PUSH-12mm,~
U1,1,ESP32-DevKitC,,,,Espressif:ESP32-DevKitC,https://docs.espressif.com/projects/esp-idf/zh_CN/latest/esp32/hw-reference/esp32/get-started-devkitc.html
U2,1,AMS117-5V,,,,myAMS117-5V:Untitled,
U3,1,TB6612FNG,,,,myTB6612FNG:Untitled,
U4,1,GP2Y0A02YK0F_1,,,,Connector_JST:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,
U5,1,GP2Y0A02YK0F_2,,,,Connector_JST:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,
U6,1,LCD-I2C,,,,Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,
U7,1,K6-FALL-1,,,,Connector_JST:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,
U8,1,AMS117-1.2V,,,,myAMS117-5V:Untitled,
U9,1,K6-FALL-2,,,,Connector_JST:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,
U10,1,K6-FALL-3,,,,Connector_JST:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,
